Acc. No.,Title,Author,Place,Publisher,Year,Edition,Language,Subject
021869,Industrial Engineering and Management,"Khanna,O.P",New delhi,Dhanpat Rai,2013,,English,MECHANICAL ENGINEERING
021871,Financial Management,"Pandey,I.M",Noida,Vikas Pub,2013,10.0,English,MECHANICAL ENGINEERING
021873,Management Information systems,Laudan Kenneth.c,New Delhi,Joha wiley,2013,,English,ELECTRONICS & COMMUNICAT
021874,Smart Materials Systems and MEMS,"Varadan,Vijay.K",New Delhi,Johan Wiley,2011,,English,MECHANICAL ENGINEERING
021876,Mechanical Vibrations,"Rao,Singiresu.S",New Delhi,Pearson Edu,2013,4.0,English,MECHANICAL ENGINEERING
021886,Mechanical Vibrations,"Das,J.B.K",bangalore,Sapana Book,2013,,English,MECHANICAL ENGINEERING
021901,Fluid Power with Applications,"Esposito,anthany",New Delhi,Pearson.Pub,2013,,English,MECHANICAL ENGINEERING
021909,Operations Research An introduction,"Taha, Hamdy.A",New Delhi,Pearson edu,2013,9.0,English,MECHANICAL ENGINEERING
021910,Fundamentals of compressible Flow,"Yahya,S.M",New Delhi,New Age,2012,,English,MECHANICAL ENGINEERING
021912,Introduction To Robotics,"Niku,Saeed.Benjamin",New Delhi,Johan Wiley,2013,4.0,English,MECHANICAL ENGINEERING
021916,Automative Mechanics,"Srinivasan,S",New Delhi,McGraw Hill,2013,2.0,English,MECHANICAL ENGINEERING
021918,Experiment planning Analysis and parameter,"Dteffwu ,C.f,Hama michae",New Delhi,Joha wiley,2010,,English,MECHANICAL ENGINEERING
021920,Strength Of Materials,"Bhavikatti,S.S",New Delhi,Vikas Pub,2013,3.0,English,MECHANICAL ENGINEERING
021930,MEMS and Microsystems design and Manufac,HSU Tai-Ran,New Delhi,McGra Hill,2013,,English,MECHANICAL ENGINEERING
021931,Power Plant Engineering,"Nag,P.K",New Delhi,McGraw Hill,2013,3.0,English,ELECTRONICS & COMMUNICAT
021933,Artificial intelligence,"Rich Elaine,Knight,Kevin",New Delhi,McGraw Hill,2013,,English,COMPUTER SCIENCE
021935,MEMS and Microsystems design and Manufac,tHSU Tai-Ran,New Delhi,McGraw Hill,2013,,English,MECHANICAL ENGINEERING
021936,Manufacturing Process-I,"Radhakrishna,K",New delhi,Sapna Books,2012,,English,MECHANICAL ENGINEERING
021938,Introductury Course on theory and Practice of,"Rao,J.S,Gupta,.K",New Delhi,New Age,2012,2.0,English,MECHANICAL ENGINEERING
021941,Mechanics Of Materials,"Jones,Robert.M",New Delhi,Taylo,2013,2.0,English,MECHANICAL ENGINEERING
021943,financial Management Theory and Practice,"Chandra,Prasanna",New Delhi,TataMcgraw Hi,2011,8.0,English,MECHANICAL ENGINEERING
021945,Power plant Engineering,Nag.P.K,New Delhi,Mc Graw Hill,2013,3.0,English,MECHANICAL ENGINEERING
021947,Principles of foundry Technology,"Jain,P.L",New Delhi,Mcgraw Hill,2013,3.0,English,MECHANICAL ENGINEERING
021949,Automative Mechanics,"Crouse,William.H",New Delhi,TataMcgrw Hill,2013,10.0,English,MECHANICAL ENGINEERING
021951,Taguchi Techniques for Quality Engineering,"Rass,Phillip.J",New delhi,TataMcgrw Hill,2013,2.0,English,MECHANICAL ENGINEERING
021953,Modern Machining Processes,"Pandey,P.C,Shan,H.S",New Delhi,TataMcGraw H,2013,,English,MECHANICAL ENGINEERING
021963,Mechatronics,"Boltan,W",New Delhi,Pearson edu,2013,4.0,English,MECHANICAL ENGINEERING
021978,Total Quality Management,"Besterfield,Dale .H,Mich",New Delhi,Pearson Edu,2013,3.0,English,MECHANICAL ENGINEERING
021988,Nanotechnology,"Booker,Richard,Boysen E",New Delhi,John Wiley,2011,,English,MECHANICAL ENGINEERING
021990,Management Information System,"OZ,EFFY",New Delhi,Cengage Learn,i2013,6.0,English,MECHANICAL ENGINEERING
021992,Castings,"Campbell,Jahn",New Delhi,Elsevier,2012,2.0,English,MECHANICAL ENGINEERING
021994,Pricciples Of Computer Integrated Manufactur,"Vajpayee,S.kant",New Delhi,PHI Learning,2012,2.0,English,MECHANICAL ENGINEERING
022004,Fundamentals of Tribology,"Basu,S.K,Sengupta.S.N",New Delhi,PHI learning,2012,,English,MECHANICAL ENGINEERING
022006,Text Book Of computer aided Machine Drawin,"Murthy,S.Trymbaka",New Delhi,CBS,2008,2.0,English,MECHANICAL ENGINEERING
022016,Composite materials Science and enggineerin,"gChawla,Krishna.K",New Delhi,Springer,2012,2.0,English,MECHANICAL ENGINEERING
022018,Fundamentals Finite Element Analysis And ap,"pBhatti,M.Asghar",New Delhi,John wiley,2013,,English,MECHANICAL ENGINEERING
022020,Mechanics Of Composite Materials,"kaw,Autar.K",New Delhi,CRC Pub,2013,2.0,English,MECHANICAL ENGINEERING
022022,Mechanice of Materials,Ugural Ansel,New Delhi,Johan Wiley,2013,,English,MECHANICAL ENGINEERING
022024,Operation Research,"Natarajn,A.M,Balasubra",mNew delhi,Pearson Edu,2013,,English,MECHANICAL ENGINEERING
022026,Financial Accounting For Management,"Gupta,Ambrish",New Delhi,Pearson Edu,2012,4.0,English,MECHANICAL ENGINEERING
022027,introduction to Artificial Intelligence and Expe,"rPatterson, Dan.W",New Delhi,PHIearing,2009,,English,COMPUTER SCIENCE
022028,Microsystem design,"Senturia,Stephen",New Delhi,Springer,2011,,English,MECHANICAL ENGINEERING
022029,Computer Graphics,"Sinha,Amarendra",New Delhi,TataMcGraw H,2012,,English,COMPUTER SCIENCE
022031,Machine drawing with Auto CAD,"Pohit,Goutam,Ghosh,Go",New delhi,Pearson Edu,2013,,English,MECHANICAL ENGINEERING
022033,A Guide To Expert Systems,"Waterman,Donald.A",New Delhi,Pearson Edu,2008,,English,COMPUTER SCIENCE
022035,Theory of Vibrations With Applications,"Thomson, William T And",Dilhi,Pearson Edu,2013,5.0,English,MECHANICAL ENGINEERING
022036,Operations Research,"Panneerselvam. R,.",New Delhi,PHI Learning,2012,2.0,English,MECHANICAL ENGINEERING
022041,Production & Operation Management,"Adam Everett E,Ebert R",oNew Delhi,PHI Learning,2013,5.0,English,MECHANICAL ENGINEERING
022048,Operation Research,Verma A P,New Delhi,S K Kataria,2012,,English,MECHANICAL ENGINEERING
022050,Micro & Smart Systems,"Ananthasuresh G K,Vina",yNew Delhi,John Wiley,2014,,English,ELECTRONICS & COMMUNICAT
022052,A Text Book Of Work Study &Erganomics,"Dalela Suresh&,Saurabh",Dilhi,Standard Pub,2011,,English,MECHANICAL ENGINEERING
022054,Operatians Management,Gaither Norman &Erazie,New Dilhi,Cengage Leaen,2013,9.0,English,MECHANICAL ENGINEERING
022056,Finite Element Methods For Engineers,Dixit U S,New Delhi,Cengage Learn,i2013,,English,MECHANICAL ENGINEERING
022058,Performance Modeling Of Automated Manufa,"Viswanadhan N,Narahar",New Delhi,PHI Learning,2009,,English,MECHANICAL ENGINEERING
022070,Introduction To Work Study,LIO,New Delhi,Oxford Univers,2012,3.0,English,MECHANICAL ENGINEERING
022072,Engineering Economy,"Naidu N V R,Babu K M,R",aNew Delhi,New Age,2008,,English,MECHANICAL ENGINEERING
022092,Organizational Excellence Through Total Quali,tLal H,New Delhi,New Age,2008,,English,MECHANICAL ENGINEERING
022094,Biogas Technology,Nijaguna B T,New Delhi,New Age,2012,,English,MECHANICAL ENGINEERING
022096,CAD /CAM /CIM,Radhakrishnan P Subram,New Dilhi,New Age Int,2013,3.0,English,MECHANICAL ENGINEERING
022097,Metal Cutting & Tool Design,Rangonath B J,Noidu,Vikas Pub,2013,3.0,English,MECHANICAL ENGINEERING
022099,Theory Of Machines And Mechanism,"Uicker john J Pennock ,G",New Delhi,Orford Unir,2013,3.0,English,MECHANICAL ENGINEERING
022111,Operations Research,"Gupta Prem kumar & ,Hi",New Delhi,S Chand,2014,,English,MECHANICAL ENGINEERING
022118,Introduction to Tribology Of Bearings,"Mujumdar B C ,,,",New Delhi,S chand,2013,,English,MECHANICAL ENGINEERING
022128,Knowledge Mangement,"Debowski Shelda,.,.",New Delhi,John Wiley,2013,,English,MECHANICAL ENGINEERING
022130,Knowledge Engineerig And Management,"Schrciber ,Guus, ,Akkerm",Hyderabad,Universities Pr,e2009,,English,MECHANICAL ENGINEERING
022131,"Opercations Research Theory , Methods & App","Sharma ,S D ,,",MEerut,Kedarnath Ram,2014,,English,MECHANICAL ENGINEERING
022132,Smart Structures Analysis & Design,Srinivasa A V & M c Farta,New York,Combridge Uni,2010,,English,MECHANICAL ENGINEERING
022134,Automobile Engineering,"Ramalingam,K.K",Chennai,Scitech.Pub,2013,2.0,English,MECHANICAL ENGINEERING
022135,Composites Manufacturing,"Mazumdar,Sanjay.K",New Delhi,CRC,2010,,English,MECHANICAL ENGINEERING
022136,Management and Entrepreneurship,"Naidu,N.V.R,Rao,T.Krish",nNew delhi,I.K.internation,a2013,,English,MECHANICAL ENGINEERING
022137,Mechanical Metallurgy,dieter George.E,New Delhi,McGraw Hill,2013,3.0,English,MECHANICAL ENGINEERING
022139,Operations Management,"Gaither,Norman,Frazier,",New Delhi,TataMcGraw h,i2013,9.0,English,MECHANICAL ENGINEERING
022140,Control Systems,"Distefann,Joseph.J.",New Delhi,TataMcgraw Hi,2013,3.0,English,MECHANICAL ENGINEERING
022142,Basic Engineering Plasticity,"Rees,D.W.A",New Delhi,Elsevier,2012,,English,MECHANICAL ENGINEERING
022146,Flasticity Theory Application and Numerics,"Sadd,Martin.H",New Delhi,Elsever,2012,2.0,English,MECHANICAL ENGINEERING
022150,Mechanics of Laminated composite plates and,Reddy.J.N,New delhi,CRC Press,2013,2.0,English,MECHANICAL ENGINEERING
022152,Engineering Economics,"Chand,Tara",Roorkee,nem Chand,2007,4.0,English,MECHANICAL ENGINEERING
022154,Mechanical Vibrations,Graver .G.K,Roorkee,Nem Chand,2012,8.0,English,MECHANICAL ENGINEERING
022159,Financial Accounting,"Maheshwari,s.N",Noida,Vikas Pub,2013,5.0,English,MECHANICAL ENGINEERING
022161,Autamative Mechanics Principles and Practice,"sHeitner ,Joseph",New Delhi,-,2011,2.0,English,MECHANICAL ENGINEERING
022163,Manufacturing Process-I,"Praveen ,Kestoor",Bengaluru,suggi sub,2012,,English,MECHANICAL ENGINEERING
022173,A Text Book of Turbo Machines,"Gawda,M.S.Govind,Naga",Davangere,M.M.Pub,2013,7.0,English,MECHANICAL ENGINEERING
022183,Kinematics Dynamics and Design of Machinery,"Woldron, Kenneth.J",New Delhi,John Wiley,2011,2.0,English,MECHANICAL ENGINEERING
022184,Advanced Mechanics of Solids,"Srinath,L.S",New Delhi,TataMcgraw Hi,2013,3.0,English,MECHANICAL ENGINEERING
022188,Multimedia Communications,"Halsall,Fred",New Delhi,Pearson Edu,2013,,English,ELECTRONICS & COMMUNICAT
022201,Computer Networking,"Kurose James,Ross Keith",New Delhi,Pearson Edu,2013,,English,COMPUTER SCIENCE
022227,Power Electronics,Rashid Muhammad H,New Delhi,Pearson Edu,2013,3.0,English,ELECTRONICS & COMMUNICAT
022252,Power Electronics : Essential & Application,Umanand L,New Delhi,John Wiley,2013,,English,ELECTRONICS & COMMUNICAT
022254,Embedded Systems Architecture Programmin,gKamal Raj,New Delhi,Mc Graw Hill,2013,2.0,English,ELECTRONICS & COMMUNICAT
022255,Embedded System Architecture,Noergaard Tammy,New Delhi,Elsevier,2013,2.0,English,ELECTRONICS & COMMUNICAT
022257,Digital Signal Processing,"Ifeachor Emmanuel ,Jerv",New Delhi,Pearson Edu,2013,2.0,English,ELECTRONICS & COMMUNICAT
022259,Architectures For Digital Signal Processing,Pirsch Peter,New Delhi,John Wiley,2012,,English,ELECTRONICS & COMMUNICAT
022261,Smart Material Systems & MEMS Design & De,"vVaradon Vijay,Vinay K J,",GNew Delhi,John Wiley,2011,,English,ELECTRONICS & COMMUNICAT
022263,Algorithms For VLSI Design Automation,"Gerez,Sabih.H",New Delhi,John Wiley,2013,,English,ELECTRONICS & COMMUNICAT
022265,Embedded Systems:Architecture Programmon,"Kamal,Raj",New Delhi,McGraw Hill,2013,2.0,English,COMPUTER SCIENCE
022267,Embedded System Design,"Vahid,Frank,Givargis,Ton",New Delhi,John Wiley,2012,,English,ELECTRONICS & COMMUNICAT
022269,An Embedded Software Primer,"Siman,David.E",New Delhi,Pearson Edu,2013,,English,ELECTRONICS & COMMUNICAT
022271,Microelectronic circuits:Theory and Practice,"Sedra,Adel.S,Siman,Davi",New Delhi,Oxford univers,i2012,5.0,English,ELECTRONICS & COMMUNICAT
022286,Discrete-Time Speech signal processing,"Quatierl,Thomas.F",New Delhi,Pearson Edu,2013,,English,ELECTRONICS & COMMUNICAT
022288,Real-Time computer control,"Bennett,Stuart",new Delhi,Pearson Edu,2013,2.0,English,ELECTRONICS & COMMUNICAT
022303,Real-Time systems Development,"Williams,Rob",New Delhi,Elsevier,2013,,English,ELECTRONICS & COMMUNICAT
022305,Digital Image Processing,"Gonzalez,Rofael.C,Wood",New Delhi,Pearson Edu,2013,3.0,English,COMPUTER SCIENCE
022307,Digital Image processing and Analysis,"Chand,Bhabatash,Mujum",New Delhi,PHI,2011,2.0,English,COMPUTER SCIENCE
022309,Digital Switching Systems,"Ali,Syed.R",New Delhi,TataMc Graw H,2011,,English,ELECTRONICS & COMMUNICAT
022329,Distributed Systems Concepts & Design,"Coulouris George,Dollim",New Delhi,Pearson Edu,2013,4.0,English,COMPUTER SCIENCE
022331,Optical Networks,"Ramaswami Rajiv ,Sivara",New Delhi,Elsevier,2012,,English,ELECTRONICS & COMMUNICAT
022333,Mobile Cellular Telecommunications,Lee William C Y,New Delhi,Tata Mc Graw,H2013,2.0,English,ELECTRONICS & COMMUNICAT
022335,Fundamentals Of Wireless Communication,"Tse David,Viswanath Pra",New Delhi,Cambridge Uni,2013,,English,ELECTRONICS & COMMUNICAT
022337,Wireless Communications,Rappaport Theadore S,Delhi,Pearson Edu,2013,2.0,English,ELECTRONICS & COMMUNICAT
022359,Electronic Devices & Circuits Theory,"Boylestad robert,Nashel",sNew Delhi,Pearson Edu,2014,10.0,English,ELECTRONICS & COMMUNICAT
022360,Analog Electronic Circuits A Simlified Approac,hMahadevaswamy U B,New Delhi,Pearson Edu,2012,,English,ELECTRONICS & COMMUNICAT
022362,Electronic Instrumentation & Measurements,Bell David A,New Delhi,PHI Learning,2011,2.0,English,ELECTRONICS & COMMUNICAT
022363,Engineering Electromagnetics,"Hayt William H,Buck Joh",New Delhi,Mc Graw Hil,2013,7.0,English,ELECTRONICS & COMMUNICAT
022364,The 8051 Microcontroller & Embedded System,"Mazidi Muhammad Ali,M",New Delhi,Pearson Edu,2013,2.0,English,ELECTRONICS & COMMUNICAT
022365,8051 Microcontroller,"Udayashankara V,Mallik",aNew Delhi,Tata Mc Graw,H2013,,English,ELECTRONICS & COMMUNICAT
022366,Signals & Systems,"Haykin Simon,Veen Barr",yNew Delhi,John Wiley,2013,2.0,English,ELECTRONICS & COMMUNICAT
022367,HDL Programming VHDL & Verilog,Botros Nazeih M,New Delhi,Dream Tech,2009,,English,ELECTRONICS & COMMUNICAT
022369,Linear Integrated Circuits,"Choudhury D Roy,Jain Sh",New Delhi,New Age,2014,4.0,English,ELECTRONICS & COMMUNICAT
022372,Communication Systems,"Haykin Simon,Moher Mi",cNew Delhi,John Wiley,2012,5.0,English,ELECTRONICS & COMMUNICAT
022374,Modern Digital & Analog Communication Syst,"eLathi B P,Ding Zhi",New York,Oxford Univers,2012,4.0,English,ELECTRONICS & COMMUNICAT
022375,Communication Systems Analog & Digital,"Singh R P ,Sapre S D",New Delhi,Tata Mc Graw,H2012,3.0,English,ELECTRONICS & COMMUNICAT
022376,Microwave Devices & Circuits,Liao Samuel Y,New DElhi,Pearson Edu,2013,3.0,English,ELECTRONICS & COMMUNICAT
022377,Introduction To Radar Systems,Skolnik Merrill L,New Delhi,Mc Graw Hill,2013,3.0,English,ELECTRONICS & COMMUNICAT
022378,Microwave Engineering,"Das Annapurna,Das Sisir",New Delhi,Tata Mc Graw,H2012,2.0,English,ELECTRONICS & COMMUNICAT
022379,Digital & Analog Communication Systems,Shanmugam K Sam,New Delhi,John Wiley,2013,,English,ELECTRONICS & COMMUNICAT
022380,Basic VLSI Design,"Pucknell Douglas A,Eshr",aDelhi,PHI Learning,2013,3.0,English,ELECTRONICS & COMMUNICAT
022381,Microcomputer Systems The 8086/8088 Famil,"Liu Yu- Cheng ,Gibson Gl",Delhi,PHI Learning,2013,2.0,English,ELECTRONICS & COMMUNICAT
022382,The Intel Microprocessors,Brey Barry B,New Delhi,Pearson Edu,2013,8.0,English,ELECTRONICS & COMMUNICAT
022385,Satellite Communications,"Pratt Timothy,Bostian Ch",New Delhi,John Wiley,2013,2.0,English,ELECTRONICS & COMMUNICAT
022396,Antenna Theory Analysis & Design,Balanis Constantine A,New Delhi,John Wiley,2013,3.0,English,ELECTRONICS & COMMUNICAT
022397,Antenna & Wave Propagation,"Kraus John D,Marhefka R",New Delhi,Tata Mc Graw,H2011,4.0,English,ELECTRONICS & COMMUNICAT
022403,Introduction To Wireless & Mobile System,Agarwal Dharma Prakas,hNew Delhi,Cengage Learn,2012,3.0,English,ELECTRONICS & COMMUNICAT
022406,Discrete Event System Simulation,"Banks Jerry,Carson II Joh",New Delhi,Pearson Edu,2013,5.0,English,COMPUTER SCIENCE
022409,Digital Telephony,Bellamy John C,New Delhi,John Wiley,2013,3.0,English,ELECTRONICS & COMMUNICAT
022422,Signals & Systems,"Oppenheim Alan V,Wilsk",Delhi,Phi Learning,2013,2.0,English,ELECTRONICS & COMMUNICAT
022426,CMOS Digital Integrated Circuits Analysis & De,"Kang Sung Mo,Leblebiei",New Delhi,Tata Mc Graw,H2011,3.0,English,ELECTRONICS & COMMUNICAT
022427,Elements Of Networks Protocal Design,"Gauda,Mahamed.G",New Delhi,John wiley,2009,,English,ELECTRONICS & COMMUNICAT
022428,Computer Networks and Interners with intern,"eComer,Dauglas .E ,Naray",New Delhi,Pwearson Edu,2012,4.0,English,COMPUTER SCIENCE
022429,Modern Digital Siognal Processing,Cristi Robert,New Delhi,Cengage Learn,i2012,,English,ELECTRONICS & COMMUNICAT
022432,Computer Architecture & Parallel Processing,"Hwang Kai,Briggs Faye A",New DElhi,Tata Mc Graw,H2012,,English,COMPUTER SCIENCE
022434,Multimedia Communication System,"Rao,K.R,Bojkovic",New Delhi,PHI Learning,2012,,English,ELECTRONICS & COMMUNICAT
022439,High - Performance Communication Networks,"Walrdon Jean,Varaiya Pr",New Delhi,Morgan Kaufm,2012,2.0,English,ELECTRONICS & COMMUNICAT
022444,Automatic Control Systems,"Kuo Benjamin C,Golnara",New DElhi,John Wiley,2013,8.0,English,ELECTRONICS & COMMUNICAT
022450,Discrete Time Speech Signal Processing Princip,Quatieri Thomas F,New Delhi,Pearson Edu,2013,,English,ELECTRONICS & COMMUNICAT
022457,Analog Electronic Circuits,Mahadevaswamy U B,New Delhi,Pearson Edu,2014,,English,ELECTRONICS & COMMUNICAT
022461,Power Electronics,Hart Daniel W,New DElhi,Mc Graw Hill,2013,,English,ELECTRONICS & COMMUNICAT
022463,Digital Signal Processing,"Venkataraman B,Bhaska",rNew Delhi,Tata Mc Graw,H2013,2.0,English,ELECTRONICS & COMMUNICAT
022497,Speech and Audio Signal Processing,"Gold,Ben,Morgan,Nelso",nNew Delhi,Johan Wiley,2013,,English,ELECTRONICS & COMMUNICAT
022500,Inroduction To Nanotechnology,"Poole,Charles.P,Owens,F",New Delhi,John Wiley,2013,,English,MECHANICAL ENGINEERING
022507,The Design Of CMOS Radio Frequency Integrat,Lee Thomas H,New York,Cambridge Uni,2012,2.0,English,ELECTRONICS & COMMUNICAT
022509,Control System Engineering,"Nagrath I J,Gopal M",New Delhi,New Age,2012,5.0,English,ELECTRONICS & COMMUNICAT
022510,Data Structures Algorithms & Application In C,+Sahni Satraj,Hyderabad,University Pres,2010,2.0,English,ELECTRONICS & COMMUNICAT
022515,Fundamentals Of Speech Recognition,"Rabiner Lawrence,Juang",Delhi,Pearson Edu,2011,,English,ELECTRONICS & COMMUNICAT
022516,Digital Communication Fundamentals & Appli,"cSklar Bernard ,Ray Pabitr",Delhi,Pearson Edu,2013,2.0,English,ELECTRONICS & COMMUNICAT
022523,Nanosystems,"drexler,K.Fric",New Delhi,Johnwiley,2010,2.0,English,MECHANICAL ENGINEERING
022524,Discrrte -Time Signal Processing,"Oppenheim,Alan.v,Schof",New Delhi,Pearson Edu,2013,2.0,English,ELECTRONICS & COMMUNICAT
022525,Probability and Random Processes with Applic,"Stark Henry,Woods,John",New Delhi,Pearson Edu,2013,,English,ELECTRONICS & COMMUNICAT
022526,Wireless and mobile Networks Concept and Pr,"Manvi,Sunilkumar.S,Kak",kNew Delhi,John Wiley,2013,,English,ELECTRONICS & COMMUNICAT
022527,Understanding Automative Electronics,"Ribbens,William.B",New Delhi,Elsevier,2014,7.0,English,ELECTRONICS & COMMUNICAT
022528,Algorithms For VLSI Physical Design Automatio,"Sherwani,Navved.A",New Delhi,Springer,2013,3.0,English,ELECTRONICS & COMMUNICAT
022529,Telecommunication Switching Traffic and Net,"wFloods,J.E",New Delhi,Pearson edu,2012,,English,ELECTRONICS & COMMUNICAT
022550,CMOS VLSI Design,"Weste,Neil,Harris,David",New Delhi,Pearson Edu,2013,3.0,English,ELECTRONICS & COMMUNICAT
022551,Principles and Applications Of GSM,"Garg,Vijay.K,Wilkes,Jose",New Delhi,Pearson Edu,2013,,English,ELECTRONICS & COMMUNICAT
022553,Error Control Coding,"Lin,Shu,Costello,Daniel.J",New Delhi,PHI Learning,2013,,English,ELECTRONICS & COMMUNICAT
022556,Network Security Private Communication In A,"pKaufman,Charlie,Perlma",New Delhi,PHI Learning,2012,2.0,English,ELECTRONICS & COMMUNICAT
022557,Fundamentals multimedia,"Li Ze-Nian,Drew,Mark.S",New Delhi,PHI Learning,2012,,English,ELECTRONICS & COMMUNICAT
022558,Control Systems,"DistefanoIII ,Joseph.J",New Delhi,TataMc GraW,H2013,3.0,English,ELECTRONICS & COMMUNICAT
022559,Programming For EmBedded Systems Crackin,"gDreamtech,softwore Tea",New Delhi,John Wiley,2013,,English,COMPUTER SCIENCE
022562,Communication Protocol Engineering,"Venkataram,Pallapa",New Delhi,PHI Learning,2012,,English,ELECTRONICS & COMMUNICAT
022564,Linear Algebra and Its Application,"Strang,Gilbert",New Delhi,New Delhi,2012,4.0,English,ELECTRONICS & COMMUNICAT
022565,Probability and Random Processes,"Miller,Scatt,Childers,Don",New Delhi,Cengage Learn,i2012,2.0,English,ELECTRONICS & COMMUNICAT
022566,Digital Design An Embedded Systems Approca,"Ashenden,Peter.J",New Delhi,Elsevier,2013,,English,ELECTRONICS & COMMUNICAT
022567,Op AMPS Design Application and Trouble Shoo,"Terrell,David.L",New Delhi,Elsevier,2013,2.0,English,ELECTRONICS & COMMUNICAT
022568,Micro and smart Systems,"Anantha,suresh.G.K",New Delhi,John wiley,2014,,English,ELECTRONICS & COMMUNICAT
022571,Wireless Networks,"Nicopolitidis P,Obidat M",New Delhi,John Wiley,2012,,English,ELECTRONICS & COMMUNICAT
022572,Analog Integrated Circuits Design,"Carusone Tony Chan,Joh",New Delhi,John Wiley,2014,2.0,English,ELECTRONICS & COMMUNICAT
022573,Wavelets & Fitter Banks,"Strang Gilbert ,Nguyen T",New York,Weleseley Com,2014,,English,ELECTRONICS & COMMUNICAT
022574,Elements Of Artificial Neural Networks,"Mehratra Kishan ,Mohan",Mumbai,Penram Intern,a2010,2.0,English,COMPUTER SCIENCE
022576,Computer Architecture,Flynn Michhael J,New Delhi,Narosa Pub,2013,,English,COMPUTER SCIENCE
022577,GATE 2014: Electronics & Communication Engi,"Chauhan Abhinav,Kumar",Noida,G K Pub,2014,,English,ELECTRONICS & COMMUNICAT
022579,Introduction To Artificial Neural Systems,Zurada Jacek M,Ahmedaba,Jaico Pub,2006,,English,COMPUTER SCIENCE
022580,Digital Modulation & Coding,Wilson Stephen G,New Delhi,Pearson Edu,2011,,English,ELECTRONICS & COMMUNICAT
022584,Network Analysis,"Bakshi U A,Bakshi A V",Pune,Technical Pub,2013,,English,ELECTRONICS & COMMUNICAT
022589,Wireless Communicatio & Networks,Misra Iti Saha,New Delhi,Mc Graw Hill,2013,2.0,English,ELECTRONICS & COMMUNICAT
022594,Digital Signal Processing,"Proakis John G,Manalaki",New Delhi,Pearson Edu,2013,3.0,English,ELECTRONICS & COMMUNICAT
022595,Essentials Of Digital Signal Processing Using M,"Ingle Vinay K,Proakis Joh",New Delhi,Cengag Learnin,2012,3.0,English,ELECTRONICS & COMMUNICAT
022596,Digital Signal Processing,"Singh Avtar,Srinivasan S",New Delhi,Cengage Learn,i2013,,English,ELECTRONICS & COMMUNICAT
022610,CDMA: Principles Of Spread Spectrum Commu,Viterbi Andrew J,NW,Addision Wese,1995,,English,ELECTRONICS & COMMUNICAT
022611,Wireless Telecommunications Systems & Netw,Mullett Gary J,New Delhi,Cengage Learn,i2014,,English,ELECTRONICS & COMMUNICAT
022613,Fundamentals Of Engineering Numerical Analy,Moin Parviz,New Delhi,Combridge Uni,2010,2.0,English,MECHANICAL ENGINEERING
022623,Machines & Mechanisms Applied Kinematics A,Myszka David H,Delhi,PHI Learning,2013,4.0,English,MECHANICAL ENGINEERING
022626,Operations Research,"Gupta pream Kumar,Hir",aDelhi,S Chand,2014,,English,MECHANICAL ENGINEERING
022627,Heat & Mass Transfer,"Hegde R K `,Murthy Nira",nBangalore,Sapna Books,2013,,English,MECHANICAL ENGINEERING
022652,100 Methods For Total Quality Management,"Kanji Gopal K,Asher Mik",eNew delhi,Sage Pub,2013,,English,MECHANICAL ENGINEERING
022655,The Fractional Calculas,"Oldham Keith B,Spanier",JNew York,Dover Pub,2006,,English,MECHANICAL ENGINEERING
022666,Financial Accounting For Management,Gupta Ambrish,Delhi,Pearson Edu,2012,4.0,English,MECHANICAL ENGINEERING
022684,Wireless Telecommunicatio Systems & Netwo,rMullett Gary J,New DElhi,Cengage Learn,i2014,,English,ELECTRONICS & COMMUNICAT
022706,Fractional Calculas & Introduction For Physcist,Herrann Richard,ND,NW,2014,,English,MECHANICAL ENGINEERING
022707,Introduction To The Fractional Calculas Of Vari,"Malino Agnieszka B,Torr",eND,NY,2014,,English,MECHANICAL ENGINEERING
022708,Radio Frequency & Microwave Electronics,Radmanesh Mathew M,London,Prentice Hall,2001,,English,ELECTRONICS & COMMUNICAT
022709,Smart Structures & Materials,Culshaw Brian,London,Artech House,1996,,English,MECHANICAL ENGINEERING
022710,Solid Mechanics A Variational Approach,"Dym Clive L,Shames Irvin",New York,Spinger,2013,,English,MECHANICAL ENGINEERING
022711,Fiber Reinforced Composites Materials Manuf,Mallick P K,New York,CRC Press,2010,,English,MECHANICAL ENGINEERING
022717,Analysis & Design Principles Of MEMS Devices,Bao Minhang,New York,Elsevier,2005,,English,ELECTRONICS & COMMUNICAT
022718,Software Testing A Craftmans Approach,Jorgensen Paul c,New York,Auerbach Pub,2007,3.0,English,COMPUTER SCIENCE
022730,Operations Management,Stevenson William J,New Delhi,Mc Graw Hill,2013,9.0,English,MECHANICAL ENGINEERING
022762,Programming Languages Pragmatics,Scott Michael L,New Delhi,Morgan Kaufm,2010,3.0,English,COMPUTER SCIENCE
022775,Digital Design An Embedded System Approach,Ashenden Peter j,New Delhi,Morgan Kaufm,2014,,English,ELECTRONICS & COMMUNICAT
022790,Schaums Outline of Theory and Problems of M,"Kelly,Graham.S",New Delhi,Mcgraw Hill,2008,,English,MECHANICAL ENGINEERING
022791,Software Testing A Craftmans Approach,"Jorgensen ,Paul C",New York,Auerbach,2014,3.0,English,COMPUTER SCIENCE
022801,Multimedia Communication Systems Techniqu,"Rao K R,Bojkovic Zorans",Delhi,PHI Learning,2014,,English,ELECTRONICS & COMMUNICAT
